=== Información de circuitos ejecutados ===
Circuito: e0_b0_t42.py | Registros clásicos: c0 - c5 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t38.py | Registros clásicos: c6 - c11 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t36.py | Registros clásicos: c12 - c17 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t43.py | Registros clásicos: c18 - c23 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t39.py | Registros clásicos: c24 - c29 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t80.py | Registros clásicos: c30 - c35 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t60.py | Registros clásicos: c36 - c41 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t37.py | Registros clásicos: c42 - c47 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t55.py | Registros clásicos: c48 - c53 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t48.py | Registros clásicos: c54 - c59 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t65.py | Registros clásicos: c60 - c65 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t82.py | Registros clásicos: c66 - c71 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t59.py | Registros clásicos: c72 - c77 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t40.py | Registros clásicos: c78 - c83 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t51.py | Registros clásicos: c84 - c89 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t58.py | Registros clásicos: c90 - c95 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t53.py | Registros clásicos: c96 - c101 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t69.py | Registros clásicos: c102 - c107 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t84.py | Registros clásicos: c108 - c113 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t71.py | Registros clásicos: c114 - c119 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t83.py | Registros clásicos: c120 - c125 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t45.py | Registros clásicos: c126 - c131 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t41.py | Registros clásicos: c132 - c137 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t63.py | Registros clásicos: c138 - c143 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t79.py | Registros clásicos: c144 - c149 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t50.py | Registros clásicos: c150 - c155 | Iteración: 1 | Batch: 1
Circuito: e0_b0_t57.py | Registros clásicos: c156 - c161 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t78.py | Registros clásicos: c162 - c167 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t68.py | Registros clásicos: c168 - c173 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t61.py | Registros clásicos: c174 - c179 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t77.py | Registros clásicos: c180 - c185 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t2.py | Registros clásicos: c186 - c191 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t64.py | Registros clásicos: c192 - c197 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t85.py | Registros clásicos: c198 - c203 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t73.py | Registros clásicos: c204 - c209 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t75.py | Registros clásicos: c210 - c215 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t86.py | Registros clásicos: c216 - c221 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t87.py | Registros clásicos: c222 - c227 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t70.py | Registros clásicos: c228 - c233 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t72.py | Registros clásicos: c234 - c239 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t92.py | Registros clásicos: c240 - c245 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t67.py | Registros clásicos: c246 - c251 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t89.py | Registros clásicos: c252 - c257 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t81.py | Registros clásicos: c258 - c263 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t66.py | Registros clásicos: c264 - c269 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t95.py | Registros clásicos: c270 - c275 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t88.py | Registros clásicos: c276 - c281 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t62.py | Registros clásicos: c282 - c287 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t91.py | Registros clásicos: c288 - c293 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t98.py | Registros clásicos: c294 - c299 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t47.py | Registros clásicos: c300 - c305 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t94.py | Registros clásicos: c306 - c311 | Iteración: 1 | Batch: 2
Circuito: e0_b0_t6.py | Registros clásicos: c312 - c317 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t44.py | Registros clásicos: c318 - c323 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t97.py | Registros clásicos: c324 - c329 | Iteración: 1 | Batch: 3
